,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
169,0.844,0.847,0.842,0.843,0.851,0.85,0.851,0.851,0.499272515151626,0.49975487834806953,0.5,20,1,72
170,0.846,0.848,0.842,0.843,0.85,0.85,0.85,0.851,0.5042532961317663,0.5002120186552865,0.5,20,1,73
171,0.845,0.849,0.842,0.843,0.85,0.85,0.851,0.851,0.4992412647192204,0.5055993754027388,0.5,20,1,74
172,0.849,0.851,0.842,0.843,0.851,0.852,0.851,0.852,0.5034548068464381,0.5065773587141995,0.5,20,1,75
173,0.849,0.853,0.842,0.843,0.851,0.852,0.851,0.852,0.5038325609789831,0.5064178867956382,0.5,20,1,76
174,0.849,0.85,0.842,0.843,0.85,0.852,0.85,0.852,0.5035420198930253,0.5056571446559439,0.5,20,1,77
175,0.849,0.852,0.842,0.843,0.851,0.852,0.851,0.852,0.5025239140989683,0.5108635939363735,0.5,20,1,78
176,0.848,0.853,0.842,0.843,0.85,0.853,0.85,0.853,0.5021649787080913,0.506550566074335,0.5,20,1,79
177,0.85,0.852,0.842,0.843,0.85,0.852,0.85,0.853,0.5020286560108507,0.5103052165630466,0.5,20,1,80
178,0.849,0.85,0.842,0.843,0.85,0.852,0.85,0.852,0.502796630753719,0.5056637501079675,0.5,20,1,81
179,0.849,0.851,0.842,0.843,0.85,0.852,0.851,0.852,0.5023421262883386,0.5091290525468383,0.5,20,1,82
180,0.849,0.85,0.842,0.843,0.85,0.852,0.85,0.852,0.5027150609093752,0.5042915400872447,0.5,20,1,83
181,0.849,0.853,0.842,0.843,0.852,0.852,0.85,0.852,0.5027497613968664,0.5046105102130403,0.5,20,1,84
182,0.849,0.85,0.842,0.843,0.852,0.852,0.851,0.852,0.5025452156582383,0.5044492268204986,0.5,20,1,85
183,0.849,0.85,0.842,0.843,0.852,0.852,0.852,0.852,0.5026110368857486,0.504177803916297,0.5,20,1,86
184,0.85,0.852,0.842,0.843,0.851,0.851,0.85,0.851,0.5026090487280201,0.5086755745404207,0.5,20,1,87
185,0.847,0.852,0.842,0.843,0.85,0.851,0.85,0.851,0.5020865299990371,0.5085450395493005,0.5,20,1,88
186,0.849,0.851,0.842,0.843,0.85,0.851,0.85,0.851,0.5057976622717598,0.5069333762467394,0.5,20,1,89
